iso3,mode_id,specification,definition,restriction_warning,wing
CYP,A01a,"Person is born on or after 16 August 1960 in Cyprus to a citizen o  to parents entitled to citizenship (in case of death).
",NA,NA,parentage
CZE,A01a,Person is born in the Czech Republic to a citizen.,NA,NA,parentage
DEU,A01a,Person is born in Germany to a citizen.,NA,NA,parentage
DJI,A01a,Person is born in Djibouti to a citizen.,NA,NA,parentage
DNK,A01a,"Person is born in Denmark to a citizen (father, mother or co-mother).",NA,NA,parentage
DOM,A01a,Person is born in the DR to a citizen.,NA,NA,parentage
DZA,A01a,Person is born in Algeria to a citizen.,NA,NA,parentage
EGY,A01a,Person is born in Egypt after entry into force of the law to a citizen.; Person is born in Egypt before entry into force of the law to a citizen and declares wish for Egyptian citizenship.,NA,NA,parentage
ERI,A01a,Person is born in Eritrea to a father or mother of 'Eritrean origin' (tracing ancestry to a person resident in Eritrea in 1933). Person is born of an Eritrean father or mother.,NA,NA,parentage
ESP,A01a,Person is born to a citizen.,NA,NA,parentage
EST,A01a,Person is born in Estonia to a citizen.,NA,NA,parentage
ETH,A01a,Person is born in Ethiopia to a citizen.,NA,NA,parentage
FIN,A01a,"Person is born in Finland in wedlock to a citizen, or out of wedlock to a mother who is a citizen. If the child has two mothers under the Maternity Act (253/2018), provision regarding the mother applies to the mother who gave birth and provision regarding the father whose paternity is established applies to the mother whose maternity is established.",NA,wedlock,parentage
FJI,A01a,One or both parents must be a citizen. Excludes child born in Fiji to diplomat.,NA,NA,parentage
FRA,A01a,Person is born in France to a citizen.,NA,NA,parentage
FSM,A01a,Citizen and national by birth if one or both parents are citizens of FSM.,NA,NA,parentage
GAB,A01a,Person is born in Gabon to a citizen.,NA,NA,parentage
GBR,A01a,Person is born in the UK to a citizen.,NA,NA,parentage
GEO,A01a,Person is born in Georgia to a citizen.,NA,NA,parentage
GHA,A01a,Person is born in Ghana to a citizen.,NA,NA,parentage
GIN,A01a,Person is born to a citizen.,NA,NA,parentage
GMB,A01a,Person is born in The Gambia to a citizen.,NA,NA,parentage
GNB,A01a,Person is born in Guinea Bissau to a citizen.,NA,NA,parentage
GNQ,A01a,Person is born in Equatorial Guinea to a citizen.,NA,NA,parentage
GRC,A01a,Person is born in Greece to a citizen.,NA,NA,parentage
HRV,A01a,Person is born in Croatia to a citizen.,NA,NA,parentage
HTI,A01a,Person is born in Haiti to a citizen by birth who has never renounced his/her citizenship.,NA,NA,parentage
HUN,A01a,Person is born in Hungary to a citizen.,NA,NA,parentage
IDN,A01a,Person is born in wedlock to a citizen or out of wedlock to a mother who is a citizen.,NA,wedlock,parentage
IND,A01a,"Person is born in India to two citizens or to a citizen and a parent who is not an illegal immigrant. Unless born to a parent who is a foreign diplomat, or to a parent who is an enemy alien and the child was born in a place then under occupation by the enemy.",NA,dual,parentage
IRL,A01a,Person is born in Ireland to a citizen.,NA,NA,parentage
IRN,A01a,"Person who is a child of a male citizen.;
Person who is a child of a female citizen",NA,father-citizen,parentage
IRQ,A01a,Person is born in Iraq to a citizen.,NA,NA,parentage
ISL,A01a,Person is born in Iceland to a citizen.,NA,NA,parentage
ISR,A01a,Person is born in Israel to a citizen. Children born after the death of their Israeli parent(s) will also be able to acquire Israel citizenship.,NA,NA,parentage
ITA,A01a,Person is born in Italy to a citizen.,NA,NA,parentage
JOR,A01a,"Person is born to a father who has Jordanian nationality.
Person is born in Jordan to a mother who holds Jordanian nationality and a father of unknown nationality or who has no nationality or whose affiliation has not been legally established.",NA,father-citizen,parentage
JPN,A01a,Person is born in Japan to a citizen.,NA,NA,parentage
KAZ,A01a,Person is born in Kazachstan to a citizen.,NA,NA,parentage
KEN,A01a,Person is born in Kenya to a citizen.,NA,NA,parentage
KGZ,A01a,"Person is born in Kyrgyzstan to parents who are both citizens. If only one parent is a citizen, the parents' written consent is required.",NA,dual,parentage
KHM,A01a,Person is born in Cambodia to a citizen.,NA,NA,parentage
KIR,A01a,Person is born in Kiribati after independence day (12 July 1979) and  his/her father is a citizen or one of the parents is of I-Kiribati descent. Citizenship is not acquired if neither parent is a citizen and father (or mother if parents unmarried) is a foreign diplomat or person<d5>s father (or mother if parents are unmarried) is a citizen of a country with which Kiribati is at war and birth occurred in occupied place.  (Note discrimination on the basis of gender and marital status.),NA,father-citizen,parentage
KOR,A01a,Person is born in South Korea to a citizen.,NA,NA,parentage
KWT,A01a,Person is born in Kuwait to a male citizen; Person is born in Kuwait to a female citizen and father is unknown or paternity has not been established.,NA,father-citizen,parentage
LAO,A01a,Person is born in Laos to a citizen.,NA,NA,parentage
LBN,A01a,"Person is born in Lebanon to a male citizen. (In Lebanon, there is a problem with individuals who are born [to a Lebanese mother] out of wedlock not being able to have their birth registered. Lack of birth registration may result in problems with not being considered a citizen. This can be resolved in court, but this is not a simple process. We are not aware of any legal provisions that allow access to citizenship by mother if illegitimate, and on the ground we have never seen cases where this takes place.)",NA,father-citizen,parentage
LBR,A01a,Person is born in Liberia to a citizen. Other conditions: must be Negro or of Negro descent.,NA,parent-group,parentage
LBY,A01a,Person is born in Libya to a male citizen. Not clear what are the governing rules for female citizens transferring their citizenship (contradiction in the law and governing rules are yet to be issued).,NA,father-citizen,parentage
LIE,A01a,Person is born in Liechtenstein to a citizen.,NA,NA,parentage
LKA,A01a,Person is born in Sri Lanka to a citizen.,NA,NA,parentage
LTU,A01a,Person is born in Lithuania to a citizen.,NA,NA,parentage
LUX,A01a,Person is born in Luxembourg to a citizen.,NA,NA,parentage
LVA,A01a,"Person is born in Latvia to two citizens, or to one citizen and LAT 9(2) or 9(5) (regarding dual citizenship) are complied with.",NA,NA,parentage
MAR,A01a,Person is born in Morocco to a citizen.,NA,NA,parentage
MDA,A01a,Person is born in Moldova to a citizen.,NA,NA,parentage
MDG,A01a,Person is born in Madagascar to a citizen,NA,NA,parentage
MHL,A01a,Person born after effective date of Constitution (1 May 1979) is a citizen if at date of birth either parent is a citizen.,NA,NA,parentage
MKD,A01a,Person is born in Macedonia to a citizen (unless only one of the parents is a citizen and the parents decide that the child acquires the citizenship of another country).,NA,dual,parentage
MLI,A01a,"Person is born in Mali to a citizen. (Complicated conditions apply to those born in and out of wedlock, with requirements to establish descent, but the overall effect is to allow transmission if mother or father is a citizen.)",NA,NA,parentage
MLT,A01a,"Person is born in Malta and in wedlock to a citizen, or out of wedlock to a mother who is a citizen.",NA,wedlock,parentage
MMR,A01a,"Person is born in Myanmar to a parent who is a citizen and the other parent is either also a citizen, associate citizen or 'naturalised' citizen. Or the person is a 3rd generation descendant from 'naturalised' (grand)parents (i.e. person is born to parents both of whom were 'naturalised' citizens and/or associate citizens, and the person's grandparents were 'naturalised' citizens).",NA,dual,parentage
MNE,A01a,Person is born in Montenegro to a citizen.,NA,NA,parentage
MNG,A01a,Person is born in Mongolia to a citizen.,NA,NA,parentage
MRT,A01a,Person is born in Mauritania to a citizen.,NA,NA,parentage
MUS,A01a,Person is born in Mauritius to a citizen.,NA,NA,parentage
MWI,A01a,Person is born in Malawi to a citizen.,NA,NA,parentage
MYS,A01a,Person is born in Malaysia to a citizenship mother or in wedlock to a citizen father.,NA,wedlock,parentage
"NAM",A01a,Person is born in Namibia to a citizen.,NA,NA,parentage
NER,A01a,"Person is born in wedlock in Niger to a citizen, or person is born out of wedlock in Niger and parent to whom descent is established is a citizen.",NA,NA,parentage
NGA,A01a,Person is born in Nigeria to a citizen.,NA,NA,parentage
NIC,A01a,Person is born in Nicaragua to a citizen.,NA,NA,parentage
NLD,A01a,Person is born in the Netherlands to a citizen.,NA,NA,parentage
NOR,A01a,Person is born to a citizen.,NA,NA,parentage
NPL,A01a,"Person is born in Nepal to a father who is a citizen, or to a mother who is a citizen and the father is untraceable.; Person is born in Nepal to a mother who is a Nepali citizen and a non-citizen father, has permanently resided in Nepal and has not acquired citizenship of a foreign country.",NA,father-citizen,parentage
NRU,A01a,"Person born in Nauru is a citizen by birth, provided that at the time of the person<d5>s birth either or both parents is a citizen (Citizenship Act 2017 s 9). Person born after 31 January 1968 is a citizen if both parents were Nauruan citizens, or if born of a marriage between a Nauruan and Pacific Islander and neither parent seeks a foreign citizenship for the child immediately after birth (Constitution s 72).",NA,NA,parentage
NZL,A01a,"Person is born in NZ after 1 January 2006 and at least one of his/her parents was a citizen or was entitled under the Immigration Act 2009 to be in NZ indefinitely, or one of his/her parents was entitled to reside indefinitely in the Cook Islands, Niue or Tokelau.",NA,NA,parentage
OMN,A01a,"Person is born in Oman to a male citizen. Person born to a female citizen can only obtain citizenship when the father was a citizen who became stateless or if the father is unknown.;Person is the child of a male citizen who has deceased or abandoned or divorced his wife at least 10 years ago and he/she had resided in the country for at least 10 years. Other conditions: good character, not convicted of crime or offence in breach of trust or honor,  written consent and proof of renunciation of citizenship of another country, written consent of guardian.",NA,father-citizen,parentage
PAK,A01a,Person is born in Pakistan to a citizen.,NA,NA,parentage
PHL,A01a,Person is born in the Philippines to a citizen.,NA,NA,parentage
PLW,A01a,"A person born of parents, one or both of whom are citizens of Palau or are of recognized Palauan ancestry, is a citizen of Palau.",NA,NA,parentage
PNG,A01a,Registered birth in PNG on or after date of independence (16 September 1975). One parent must be a citizen or would have been entitled to citizenship on independence.,NA,NA,parentage
POL,A01a,Person is born in Poland to a citizen.,NA,NA,parentage
PRK,A01a,Person is born in North Korea to a citizen.,NA,NA,parentage
PRT,A01a,Person is born in Portugal to a citizen.,NA,NA,parentage
QAT,A01a,Person is born in Qatar to a male citizen.,NA,father-citizen,parentage
ROU,A01a,Person is born in Romania to a citizen.,NA,NA,parentage
RUS,A01a,Person is born in Russia to a citizen,NA,NA,parentage
RWA,A01a,Person is born in Rwanda to a citizen.,NA,NA,parentage
SAU,A01a,"Person is born inside the Kingdom to a Saudi father, or to a Saudi mother and an unknown father; Person is born inside the Kingdom to a non-Saudi father and Saudi mother may be granted citizenship by decision of the Minister of Interior following a declaration in the year between his/her 18 and 19 years old and fulfiling the requirements under SAU 8(a-c).",NA,father-citizen,parentage
SDN,A01a,Person is born in Sudan to a father who is a citizen.; Person is born in Sudan to a mother who is a citizen and the child applies for citizenship. (Note: constitution provides that the child of a father or mother has an inalienable right to citizenship. Definition of 'father' in the act includes mother if born out of wedlock or if descent not established to father.),NA,father-citizen,parentage
SEN,A01a,Person is born in Senegal to a citizen.,NA,NA,parentage
SGP,A01a,"Person is born in Singapore to a citizen. Unless born to a father who is a foreign diplomat, or to a father who is an enemy alien and the child was born in a place then under occupation by the enemy.",NA,NA,parentage
SLB,A01a,"Person born in Solomon Islands after independence day (7 July 1978) if at the date of birth either parent is, or would but for his or her death have been, a citizen.",NA,NA,parentage
SLE,A01a,"Person is born in Sierra Leone and parent or grandparent was also born in Sierra Leone and of negro descent. Note: the intention appears to be for citizenship by descent also to apply to those born in the country, but the drafting does not in fact achieve this result, omitting a person whose parent was a citizen at the time of birth but neither parent nor any grandparent were also born in Sierra Leone.",NA,parent-group,parentage
SOM,A01a,Person is born in Somalia to a father who is a citizen.; Person is born to a Somalia mother. Other conditions: see A06 (but residence period may be reduced to 2 years).,NA,father-citizen,parentage
SRB,A01a,Person is born in Serbia to a citizen.,NA,NA,parentage
SSD,A01a,Person is born in South Sudan to a citizen.,NA,NA,parentage
STP,A01a,Person is born in STP to a citizen.,NA,NA,parentage
SUR,A01a,Person is born in Suriname to a citizen.,NA,NA,parentage
SVK,A01a,Person is born in Slovakia to a citizen.,NA,NA,parentage
SVN,A01a,Person is born in Slovenia to a citizen.,NA,NA,parentage
SWE,A01a,Person is born in Sweden to a citizen.,NA,NA,parentage
SWZ,A01a,"Person is born in Swaziland to a father who is a citizen, or to a mother who is a citizen and the father does not adopt or claim the child.",NA,father-citizen,parentage
SYC,A01a,Person is born in Seychelles to a citizen.,NA,NA,parentage
SYR,A01a,"Person born in Syria to a male citizen, or to a female citizen and the father is unknown.",NA,father-citizen,parentage
TCD,A01a,Person is born in Chad to a citizen.,NA,NA,parentage
TGO,A01a,Person is born in Togo to a citizen.,NA,NA,parentage
TJK,A01a,Person is born in Tajikistan to a citizen.,NA,NA,parentage
TKM,A01a,Person is born in Turkmenistan to a citizen.,NA,NA,parentage
TLS,A01a,Person is born in Timor-Leste to a citizen.,NA,NA,parentage
TON,A01a,Person is born in Tonga to a Tongan parent.,NA,NA,parentage
TUN,A01a,Person is born in Tunisia to a citizen.,NA,NA,parentage
TUR,A01a,"Person is born in Turkey to two citizens, or to a father or mother who is a citizen (birth in wedlock), or to a mother who is a citizen (birth out of wedlock).",NA,wedlock,parentage
TWN,A01a,Person is born in Taiwan to a citizen.,NA,NA,parentage
UGA,A01a,"Person is born in Uganda to a citizen by birth (see A02a for definition - excludes those who are not member of listed ethnic group - that is, children of naturalised citizens do not acquire citizenship at birth).",NA,parent-group,parentage
UKR,A01a,Person is born in Ukraine to a citizen.,NA,NA,parentage
UZB,A01a,Person is born in Uzbekistan to a citizen.,NA,NA,parentage
VNM,A01a,"Person is born in Vietnam to two citizens, to a citizen and a parent who is stateless, or to a mother who is a citizen and the father is unknown. If one parent is a citizen and the other parent is a citizen of another country, the child acquires Vietnamese citizenship if the parents agree in writing, but also if they do not reach agreement.",NA,dual,parentage
VUT,A01a,"Anyone born after Independence Day (30 July 1980) whether in Vanuatu or abroad, shall become a citizen of Vanuatu if at least one parent is a citizen of Vanuatu.",NA,NA,parentage
WSM,A01a,A person born in Samoa to at least one parent who is a citizen at the time of birth.,NA,NA,parentage
XKX,A01a,Person is born in Kosovo to a citizen.,NA,NA,parentage
YEM,A01a,Person is born in Yemen to a citizen.,NA,NA,parentage
ZAF,A01a,Person is born in South Africa to a citizen.,NA,NA,parentage
ZMB,A01a,Person is born in Zambia to a citizen.,NA,NA,parentage
ZWE,A01a,Person is born in Zimbabwe to a citizen.,NA,NA,parentage
AFG,A01b,"Person is born abroad to two citizens. Or person is born abroad to a citizen and a non-citizen, and (1) one of the parents permanently resides in Afghanistan, or (2) the parents live outside Afghanistan and they select Afghan citizenship for the child by mutual consent.",NA,dual,parentage
AGO,A01b,Person is born abroad to a citizen.,NA,NA,parentage
ALB,A01b,Person is born abroad to a citizen.,NA,NA,parentage
ARE,A01b,"Person is born in the UAE to a male citizen, or to a female citizen and the father is unknown or stateless;
Person is born to a female citizen who is married to a foreign citizen. Citizenship can be acquired six years after the date of birth, and only if the mother had citizenship during the period from the date of birth until the date of submission of the request.",NA,father-citizen,parentage
ARG,A01b,"Person is born abroad to a citizen who was born in Argentina.;

Person is born abroad to a citizen who was exiled from Argentina. Option right can be exercised after arrival in the country.",NA,NA,parentage
ARM,A01b,"Person is born to parents who are both citizens or to a parent who is a citizen and the other parent is unknown or stateless. If one parent is a citizen and the other parent is a foreigner, the child acquires citizenship based on a written consent. In the absence of written consent, the child acquires citizenship if she or he is otherwise stateless, or both parents reside permanently in Armenia.",NA,dual,parentage
ATG,A01b,"Person is born abroad to a citizen who was born in Antigua and Barbuda, or to a citizen who is in the service of the government, or to a deceased parent who held Antigua and Barbuda citizenship.",NA,NA,parentage
AUS,A01b,"Person is born abroad to a citizen. Only requirement for applying to become a citizen is that a responsible parent be a citizen at time of birth and that, if aged over 18, the person is of good character. If the parent was a citizen by descent or by overseas adoption by a citizen then, unless the person was never a citizen of another country, the parent must have spent a total of 2 years in Australia at any time before application for citizenship.",NA,NA,parentage
AUT,A01b,Person is born abroad to a citizen.,NA,NA,parentage
AZE,A01b,Person is born abroad to a citizen.,NA,NA,parentage
BDI,A01b,"Constitution: person is the child of a citizen. Law: person is born in wedlock to a father who is a citizen, or is recognised by voluntary or court-ordered legitimation as the child of a Burundian father, or paternal descent is not established and the child is recognised voluntarily or by court order as the child of a Burundian mother, or the child is repudiated by the father and the mother is a citizen.",NA,NA,parentage
BEL,A01b,"Person is born abroad to a citizen who was born in Belgium.;
Person is born abroad to a citizen who was born abroad (by declaration within five years after birth). 
(Automatic acquisition if person has not acquired citizenship of another country at the age of 18.)",NA,NA,parentage
BEN,A01b,Person is born abroad to a citizen (with right to repudiate before majority if father is foreign).,NA,NA,parentage
BFA,A01b,Person is born abroad to a citizen.,NA,NA,parentage
BGD,A01b,Person is born abroad to a citizen other than by descent.; Person is born abroad to a citizen by descent (registration at a Bangladesh consulate required unless the citizen parent is in the service of Bangladesh at the time of the birth).,NA,NA,parentage
BGR,A01b,Person is born abroad to a citizen.,NA,NA,parentage
BHR,A01b,"4(a): Person is born abroad to a male citizen, and the father or grandfather was born in Bahrain. The father has to be Bahraini citizen at the time of the child's birth.
4(b): Person is born in Bahrain to a female citizen, providing that his father was either unknown or not legally to be related to his father. The mother has to be Bahraini citizen at the time of the child's birth.",NA,father-citizen,parentage
BHS,A01b,"Person is born abroad to a father who himself is a citizen otherwise than by mode A01b.;                                       Person is born abroad to a mother who is a citizen married to a foreigner or to a citizen mother who is not married to the foreign father, and registers between the age of 18 and 21. Other conditions: renunciation of another citizenship (unless this is legally impossible), and oath of allegiance. Registration can be denied in the interests of national security or public policy, or if the person within a period of 5 years immediately preceding the application was sentenced to death or a prison sentence of at least 12 months, is not of good behaviour, is a danger to public safety, has been declared bankrupt, or has insufficient means to support him/herself.",NA,father-citizen,parentage
BIH,A01b,"Person is born abroad to a citizen and would otherwise be stateless.;

Person is born abroad to a citizen on the condition that before the age of 23 he or she is registered as a citizen before the competent authorities.",NA,NA,parentage
BLR,A01b,Person is born abroad to a citizen.,NA,NA,parentage
BLZ,A01b,Person is born abroad to a citizen.,NA,NA,parentage
BOL,A01b,Person is born abroad to a citizen and is registered with the Bolivian consulate in the country of birth.,NA,NA,parentage
BRA,A01b,"Person is born abroad to a citizen in the service of Brazil.;

Person is born abroad to a citizen not in the service of Brazil and is registered with the Brazilian consulate.;

Person is born abroad to a citizen not in the service of Brazil and establishes residence in Brazil (by declaration after reaching the age of majority).",NA,NA,parentage
BRB,A01b,"Child is born outside of Barbados in wedlock to a father who became a citizen through means other than operation of Article 2(2) of the Constitution or is born to a mother who was born in Barbados. If the child is born out of wedlock, the mother must have been born in Barbados. Person born overseas to a diplomat considered to have been born in Barbados (BAR (2)9.",NA,NA,parentage
BRN,A01b,"Person is born abroad to a father who (1) was born in Brunei and belongs to one of the specified indigenous groups of the Malay race and (2) is employed abroad in the service of the Brunei government or a Brunei company. Or person is born to a father who was born abroad and who in turn was born to a father who was born in Brunei and belongs to one of the specified indigenous groups of the Malay race. Child needs to be registered within 6  months after birth.; Person is born abroad to a father who (1) was born in Brunei to a mother and father who were both born in Brunei and are members of any of the groups of people specified in the 1st Schedule (i.e. people who are indigenous to Brunei, but note that the list is longer than the indigenous people referred to under BRU 4(1)a) and (2) is employed abroad in the service of the Brunei government or a Brunei company.  Or person is born abroad to a father and mother who were both born in Brunei and are members of any of the groups specified in the 1st Schedule. Child needs to be registered within 6  months after birth.; Person is born abroad to a father who is a citizen and is employed abroad in the service of the Brunei government or a Brunei company. Child needs to be registered within 6  months after birth.; Person is born abroad to a father who is a citizen by registration or naturalisation. Child needs to be registered within 6  months after birth.",NA,parent-group,parentage
BTN,A01b,Person is born abroad to two citizens.,NA,dual,parentage
BWA,A01b,Person is born abroad to a citizen.,NA,NA,parentage
CAF,A01b,Person is born abroad to a parent who is a citizen.,NA,NA,parentage
CAN,A01b,Person is born abroad to a citizen otherwise than by descent. Exempt from this first generation limitation are those born abroad to parents engaged in Canada's armed forces or public service.,NA,NA,parentage
CHE,A01b,Person is born abroad to a citizen.,NA,NA,parentage
CHL,A01b,"Person is born abroad to a citizen. Other conditions: at least one parent or grandparent acquired citizenship by birth in Chile, by ordinary naturalisation, or by naturalisation granted as a special favour.",NA,NA,parentage
CHN,A01b,Person is born abroad to a citizen. Unless the parent is settled abroad and the child consequently acquired another citizenship at birth.,NA,NA,parentage
CIV,A01b,"Person born abroad to a citizen in wedlock, or out of wedlock and descent is established to a parent who is a citizen.",NA,NA,parentage
CMR,A01b,Person is born abroad in wedlock and either parent is a citizen.,NA,wedlock,parentage
COD,A01b,Person is born abroad to a citizen.,NA,NA,parentage
COG,A01b,Person born abroad from a citizen mother or a citizen father.,NA,NA,parentage
COL,A01b,Person is born abroad to a citizen and establishes residence in Colombia or registers with a Colombian consulate.,NA,NA,parentage
COM,A01b,Person is born abroad to one parent who is a citizen.,NA,NA,parentage
CPV,A01b,Person is born abroad and one parent is a citizen in the service of the state.; Person is born abroad and one parent is a citizen from birth.,NA,NA,parentage
CRI,A01b,"Person is born abroad to a citizen by birth and is registered in the Civil Register by the parent during minority, or registers him/herself before reaching the age of 25.",NA,NA,parentage
CUB,A01b,"Person is born abroad to a citizen who carries out an official mission in the service of Cuba.;
Person is born abroad to a citizen and citizen parent applies for citizenship on behalf of his/her child or person applies after reaching the age of majority. Application can be refused if person or his/her parent (if minor) has committed acts against the political, social and economic foundations of Cuba. A person born abroad whose parent also acquired citizenship on the basis of this provision can acquire citizenship after reaching the age of majority if he/she demonstrates that he/she has established permanent ties and stable relations with Cuba for at least two years and passes a citizenship test, demonstrating that he/she has sufficient knowledge of the Spanish language and Cuban constitutional regulations, the country's administrative and social organisation, citizen's rights and duties, the country's history, geography and national events.",NA,NA,parentage
CYP,A01b,"Person is born on or after 16 August 1960 abroad to a citizen or to parents entitled to citizenship (in case of death). If person is permanently resident abroad, the birth must also be registered in Cyprus.
",NA,NA,parentage
CZE,A01b,Person is born abroad to a citizen.,NA,NA,parentage
DEU,A01b,"Person is born abroad to a citizen.;
Person is born abroad to a citizen who was born abroad after December 31, 1999 and is resident abroad (by registration within one year of person's birth).",NA,NA,parentage
DJI,A01b,Person is born abroad to a citizen.,NA,NA,parentage
DMA,A01b,Person is born abroad to a citizen who was either born in Dominica or who was a recognised UK and Colonies citizen prior to Independence.,NA,NA,parentage
DNK,A01b,Person is born abroad to a citizen.,NA,NA,parentage
DOM,A01b,"Person is born abroad to a citizen. If person also obtains another citizenship at birth, citizenship can either be retained or renounced by declaration when he/she reaches the age of majority.",NA,NA,parentage
DZA,A01b,Person is born abroad to a citizen.,NA,NA,parentage
ECU,A01b,"Person (and his/her descendants up to the third degree) is born abroad to a citizen who was born in Ecuador.;
Person is a minor and born abroad to a citizen by naturalisation.",NA,NA,parentage
EGY,A01b,Person is born abroad after entry into force of the law to a citizen.,NA,NA,parentage
ERI,A01b,Person is born abroad to a father or mother of 'Eritrean origin' (tracing ancestry to a person resident in Eritrea in 1933). Person is born of an Eritrean father or mother.,NA,NA,parentage
ESP,A01b,Person is born to a citizen.,NA,NA,parentage
EST,A01b,Person is born abroad to a citizen.,NA,NA,parentage
ETH,A01b,Person is born abroad to a citizen.,NA,NA,parentage
FIN,A01b,"Person is born abroad and in wedlock to a citizen, or out of wedlock to a mother who is a citizen.",NA,wedlock,parentage
FJI,A01b,"One or both parents must be a citizen. If application for registration is made after child is 18, residence in Fiji for 3 of 5 preceding years also required.",NA,NA,parentage
FRA,A01b,Person is born abroad to a citizen.,NA,NA,parentage
FSM,A01b,Citizen and national by birth if one or both parents are citizens of FSM.,NA,NA,parentage
GAB,A01b,Person is born abroad to a citizen.,NA,NA,parentage
GBR,A01b,"Automatic acquisition of British citizenship by descent if person is born abroad to a citizen who acquired citizenship otherwise than by descent or is in the public service.; 
Entitlement to register as a British citizen if person is a minor whose parent acquired citizenship by descent and has resided at any time in the UK for 3 years: entitlement while child is minor. The parent's own British parent must have acquired citizenship otherwise than by descent. Other conditions: good character if person is over 10 years old. OR person is a minor whose parent is a citizen by descent and the child and both parents (unless one is dead or divorced) live in the UK for a period of three years and both parents consent (unless one parent has died). Other conditions: good character if person is over 10 years old.",NA,NA,parentage
GEO,A01b,"Person is born abroad to two citizens. Or to a citizen and a non-citizen, one of whom has permanent residence in Georgia. Or to a citizen and a non-citizen both of whom permanently reside abroad, if the parents agree on the child<d4>s acquiring citizenship of Georgia.",NA,dual,parentage
GHA,A01b,Person is born abroad to a citizen.,NA,NA,parentage
GIN,A01b,Person is born to a citizen.,NA,NA,parentage
GMB,A01b,Person is born outside The Gambia to a citizen other than by descent (i.e. parent was born in The Gambia or is a citizen by naturalisation).,NA,NA,parentage
GNB,A01b,Person is born abroad to a citizen in the service of the state.; Person is born abroad to a citizen and s/he declares that s/he wishes to be a citizen or the birth is recorded in the civil register.,NA,NA,parentage
GNQ,A01b,Person is born abroad to a citizen.,NA,NA,parentage
GRC,A01b,Person is born abroad to a citizen.,NA,NA,parentage
GRD,A01b,Person is born abroad to a parent who was born in Grenada.,NA,NA,parentage
GTM,A01b,Person is born abroad to a citizen.,NA,NA,parentage
